solver_id,true_archetype,strategy_naked_single,strategy_hidden_single,strategy_naked_pair,strategy_hidden_pair,strategy_naked_triple,strategy_pointing_pair,strategy_x_wing,strategy_swordfish,strategy_xy_wing,strategy_forcing_chain,strategy_guess_backtrack,strategy_pattern_overlay,count_naked_single,count_hidden_single,count_naked_pair,count_hidden_pair,count_naked_triple,count_pointing_pair,count_x_wing,count_swordfish,count_xy_wing,count_forcing_chain,count_guess_backtrack,count_pattern_overlay,avg_time_per_move,pause_frequency,thinking_time_variance,total_solving_time,total_errors,error_rate,correction_time,same_error_repeated,error_recovery_efficiency,hints_used_total,hint_dependency_ratio,hints_per_puzzle,give_up_rate,persistence_score,verification_checks,verification_rate,success_rate,avg_puzzle_difficulty,strategy_diversity,advanced_strategy_ratio,basic_strategy_ratio,total_puzzles_attempted,total_moves,session_count
10,Systematic_Beginner,0.4205607476635514,0.34345794392523366,0.07476635514018691,0.0397196261682243,0.02336448598130841,0.011682242990654205,0.016355140186915886,0.014018691588785047,0.014018691588785047,0.009345794392523364,0.02102803738317757,0.011682242990654205,180,147,32,17,10,5,7,6,6,4,9,5,10.503520507408187,0.20678549655323214,64.94690532635293,4495.506777170704,8,0.018691588785046728,3.6053611365535256,5,0.375,10,0.2,0.2,0.024439216178440786,0.9670449297806053,9,0.02102803738317757,0.8115743090982914,1,1.0,0.08644859813084112,0.764018691588785,50,428,24
11,Systematic_Beginner,0.40097799511002447,0.33007334963325186,0.07823960880195599,0.039119804400977995,0.034229828850855744,0.03667481662591687,0.004889975550122249,0.019559902200488997,0.014669926650366748,0.012224938875305624,0.02444987775061125,0.004889975550122249,164,135,32,16,14,15,2,8,6,5,10,2,13.236764822851054,0.28538578892011157,6.569039473773275,5413.836812546081,9,0.022004889975550123,0.5972214387641821,1,0.8888888888888888,10,0.2,0.2,0.07502387597103166,0.9289348255871,9,0.022004889975550123,0.8913233147330145,3,1.0,0.08068459657701711,0.7310513447432763,50,409,30
12,Systematic_Beginner,0.351288056206089,0.3864168618266979,0.07962529274004684,0.0585480093676815,0.02810304449648712,0.01639344262295082,0.00234192037470726,0.01405152224824356,0.02107728337236534,0.01873536299765808,0.0117096018735363,0.0117096018735363,150,165,34,25,12,7,1,6,9,8,5,5,60.924002149203105,0.6616611690482552,1.2026166072994304,26014.548917709726,6,0.01405152224824356,40.1861727127189,0,1.0,8,0.16,0.16,0.0,0.9621513372866272,11,0.02576112412177986,0.5033881635807145,1,1.0,0.07962529274004684,0.7377049180327869,50,427,29
13,Systematic_Beginner,0.36525612472160357,0.36525612472160357,0.0801781737193764,0.04899777282850779,0.028953229398663696,0.042316258351893093,0.011135857461024499,0.008908685968819599,0.015590200445434299,0.013363028953229399,0.013363028953229399,0.0066815144766146995,164,164,36,22,13,19,5,4,7,6,6,3,29.156565739534468,0.3243031059565195,2.001883582609569,13091.298017050976,10,0.022271714922048998,12.459780392057011,4,0.6,4,0.08,0.08,0.07062851983220617,0.9114063080737168,8,0.017817371937639197,0.8213240874487707,3,1.0,0.06904231625835189,0.7305122494432071,50,449,23
14,Systematic_Beginner,0.4226579520697168,0.3289760348583878,0.06971677559912855,0.0392156862745098,0.013071895424836602,0.0392156862745098,0.013071895424836602,0.015250544662309368,0.023965141612200435,0.004357298474945534,0.023965141612200435,0.006535947712418301,194,151,32,18,6,18,6,7,11,2,11,3,36.49746984620355,0.5086912346905962,22.469863104672974,16752.33865940743,10,0.02178649237472767,2.8783770891304123,5,0.5,6,0.12,0.12,0.014818996853677727,0.9331818240390428,10,0.02178649237472767,0.8367299696669557,2,1.0,0.08714596949891068,0.7516339869281046,50,459,25
15,Systematic_Beginner,0.38666666666666666,0.36,0.07333333333333333,0.04888888888888889,0.03111111111111111,0.022222222222222223,0.013333333333333334,0.024444444444444446,0.0044444444444444444,0.015555555555555555,0.008888888888888889,0.011111111111111112,174,162,33,22,14,10,6,11,2,7,4,5,15.10867973883506,0.5552110587385646,10.611728287784029,6798.905882475777,10,0.022222222222222223,1.4046371783386453,5,0.5,13,0.26,0.26,0.0683551133394034,0.9394838922537408,3,0.006666666666666667,0.8822151003109874,2,1.0,0.07777777777777778,0.7466666666666667,50,450,29
16,Systematic_Beginner,0.3452631578947368,0.40842105263157896,0.06736842105263158,0.04,0.02526315789473684,0.021052631578947368,0.008421052631578947,0.01263157894736842,0.008421052631578947,0.01263157894736842,0.03368421052631579,0.016842105263157894,164,194,32,19,12,10,4,6,4,6,16,8,29.10759302065195,0.4102979064049765,12.45981242714293,13826.106684809676,9,0.018947368421052633,27.4902631047574,2,0.7777777777777778,9,0.18,0.18,0.06860656955465809,0.9595774432786367,5,0.010526315789473684,0.7916033521969114,2,1.0,0.09263157894736843,0.7536842105263157,50,475,23
17,Systematic_Beginner,0.3946731234866828,0.34382566585956414,0.07990314769975787,0.0387409200968523,0.012106537530266344,0.0387409200968523,0.014527845036319613,0.029055690072639227,0.007263922518159807,0.004842615012106538,0.01694915254237288,0.01937046004842615,163,142,33,16,5,16,6,12,3,2,7,8,20.44277905264331,0.5679912205475948,28.50369488188422,8442.867748741686,4,0.009685230024213076,0.9339634957085844,1,0.75,7,0.14,0.14,0.05600156633591311,0.9465474540011836,12,0.029055690072639227,0.7746493459608137,3,1.0,0.09200968523002422,0.738498789346247,50,413,27
18,Systematic_Beginner,0.3840749414519906,0.3442622950819672,0.08899297423887588,0.0351288056206089,0.02810304449648712,0.03278688524590164,0.01873536299765808,0.01405152224824356,0.01873536299765808,0.01639344262295082,0.00702576112412178,0.0117096018735363,164,147,38,15,12,14,8,6,8,7,3,5,16.739479018708273,0.26354760116984227,68.95953013504916,7147.757540988433,4,0.00936768149882904,3.9070163994935028,1,0.75,11,0.22,0.22,0.053931759515804575,0.9100359863093578,4,0.00936768149882904,0.8076744226266324,4,1.0,0.08665105386416862,0.7283372365339579,50,427,25
19,Systematic_Beginner,0.401673640167364,0.3158995815899582,0.08577405857740586,0.06276150627615062,0.027196652719665274,0.029288702928870293,0.016736401673640166,0.012552301255230125,0.006276150627615063,0.014644351464435146,0.027196652719665274,0.0,192,151,41,30,13,14,8,6,3,7,13,0,7.677372810336021,0.12715768013953507,11.680260013766905,3669.7842033406178,7,0.014644351464435146,2.2803926476616168,2,0.7142857142857143,9,0.18,0.18,0.0,0.9704514086401927,8,0.016736401673640166,0.8326278063296254,1,0.9166666666666666,0.07740585774058577,0.7175732217573222,50,478,36
20,Hybrid_Sys_Ada,0.2965874730021598,0.21883369330453561,0.11279481641468682,0.06873434125269978,0.058142548596112315,0.06203023758099353,0.05447948164146868,0.04647948164146869,0.04366306695464363,0.01988768898488121,0.01177537796976242,0.006591792656587473,198,138,50,16,14,17,5,5,9,3,6,2,31.050836895168963,0.4731906700865881,6.758190365211076,14376.53748246323,12,0.02591792656587473,9.639483682024974,5,0.5833333333333334,7,0.14,0.14,0.016325468787806614,0.955579883244476,8,0.017278617710583154,0.6728344058245712,2,1.0,0.06479481641468683,0.7257019438444925,50,463,26
21,Hybrid_Sys_Bac,0.35430463576158944,0.29192052980132455,0.06503311258278147,0.04251655629139073,0.010596026490066225,0.023894039735099338,0.006622516556291391,0.006622516556291391,0.010596026490066225,0.006622516556291391,0.16264900662251658,0.01862251655629139,192,160,34,17,8,12,5,5,8,5,2,5,16.13309719834433,0.4311729593023426,2.333724488575545,7308.293030849982,11,0.024282560706401765,4.099120056867213,5,0.5454545454545454,9,0.18,0.18,0.0,0.9322050779642685,12,0.026490066225165563,0.6870945939092695,1,1.0,0.06622516556291391,0.7770419426048565,50,453,29
22,Systematic_Beginner,0.37333333333333335,0.3711111111111111,0.08,0.03777777777777778,0.02666666666666667,0.024444444444444446,0.015555555555555555,0.02666666666666667,0.0,0.015555555555555555,0.008888888888888889,0.02,168,167,36,17,12,11,7,12,0,7,4,9,12.997020481454449,0.18198619846700737,17.80428131086592,5848.6592166545015,18,0.04,50.45546330030146,6,0.6666666666666666,6,0.12,0.12,0.018603575662302578,0.9384697919854655,11,0.024444444444444446,0.5847114595679745,1,0.9166666666666666,0.08666666666666667,0.7444444444444445,50,450,25
23,Systematic_Beginner,0.3760869565217391,0.3760869565217391,0.0782608695652174,0.04565217391304348,0.013043478260869565,0.010869565217391304,0.004347826086956522,0.02826086956521739,0.01956521739130435,0.017391304347826087,0.017391304347826087,0.013043478260869565,173,173,36,21,6,5,2,13,9,8,8,6,39.51904552572218,0.26167266836434655,2.589487279858487,18178.760941832203,10,0.021739130434782608,43.36511397671148,2,0.8,3,0.06,0.06,0.09980238429029087,0.9348640982286107,8,0.017391304347826087,0.6968013098837772,4,1.0,0.1,0.7521739130434782,50,460,26
24,Systematic_Beginner,0.3925233644859813,0.37616822429906543,0.07710280373831775,0.0397196261682243,0.02336448598130841,0.02102803738317757,0.016355140186915886,0.004672897196261682,0.009345794392523364,0.002336448598130841,0.02336448598130841,0.014018691588785047,168,161,33,17,10,9,7,2,4,1,10,6,17.639004740735466,0.07861861954219991,5.2071350158362515,7549.4940290347795,7,0.016355140186915886,45.94540124681963,2,0.7142857142857143,2,0.04,0.04,0.0697335764911491,0.9336562906678201,7,0.016355140186915886,0.680352788194096,1,1.0,0.07009345794392523,0.7686915887850467,50,428,24
25,Systematic_Beginner,0.3902439024390244,0.3259423503325942,0.08869179600886919,0.05321507760532151,0.05321507760532151,0.03325942350332594,0.013303769401330377,0.008869179600886918,0.008869179600886918,0.0066518847006651885,0.013303769401330377,0.004434589800443459,176,147,40,24,24,15,6,4,4,3,6,2,40.364681066765904,0.1420200312602118,5.098118448758774,18204.47116111142,8,0.017738359201773836,12.217008122659049,0,1.0,3,0.06,0.06,0.023611156787703078,0.9654287798383164,11,0.024390243902439025,0.6580679241137026,1,1.0,0.05543237250554324,0.7161862527716186,50,451,29
26,Systematic_Beginner,0.3797752808988764,0.36629213483146067,0.08089887640449438,0.038202247191011236,0.015730337078651686,0.035955056179775284,0.020224719101123594,0.011235955056179775,0.0022471910112359553,0.02247191011235955,0.011235955056179775,0.015730337078651686,169,163,36,17,7,16,9,5,1,10,5,7,23.812331592413358,0.31307705606710395,72.8299231849874,10596.487558623945,12,0.02696629213483146,33.17113170780654,3,0.75,7,0.14,0.14,0.0,0.9403451295563593,8,0.017977528089887642,0.8715351072752298,1,1.0,0.08314606741573034,0.7460674157303371,50,445,21
27,Systematic_Beginner,0.3723404255319149,0.3638297872340426,0.07234042553191489,0.05106382978723404,0.01702127659574468,0.03404255319148936,0.01276595744680851,0.002127659574468085,0.023404255319148935,0.02553191489361702,0.01702127659574468,0.00851063829787234,175,171,34,24,8,16,6,1,11,12,8,4,22.79137920504227,0.3078665637718757,4.536694892665869,10711.948226369866,13,0.027659574468085105,16.73173594050676,2,0.8461538461538461,2,0.04,0.04,0.1093693025782376,1.0017912728403722,12,0.02553191489361702,0.8433023720207993,1,1.0,0.08936170212765958,0.7361702127659574,50,470,18
28,Systematic_Beginner,0.3812785388127854,0.3721461187214612,0.0776255707762557,0.0502283105022831,0.0273972602739726,0.0228310502283105,0.0045662100456621,0.0273972602739726,0.0045662100456621,0.0091324200913242,0.02054794520547945,0.00228310502283105,167,163,34,22,12,10,2,12,2,4,9,1,26.662975889263524,0.24709598578439004,40.85694417941097,11678.383439497424,3,0.00684931506849315,98.75174917309191,1,0.6666666666666666,6,0.12,0.12,0.03702266612080418,0.9659988380388409,8,0.0182648401826484,0.6309291792122466,2,1.0,0.0684931506849315,0.7534246575342466,50,438,27
29,Systematic_Beginner,0.38377192982456143,0.36403508771929827,0.09429824561403509,0.041666666666666664,0.015350877192982455,0.021929824561403508,0.0043859649122807015,0.008771929824561403,0.017543859649122806,0.015350877192982455,0.006578947368421052,0.02631578947368421,175,166,43,19,7,10,2,4,8,7,3,12,7.5390316305689025,0.4869269206523058,8.236335697785302,3437.7984235394197,7,0.015350877192982455,21.805625679732618,0,1.0,2,0.04,0.04,0.03453954614750687,0.9349568718881883,9,0.019736842105263157,0.7152707398609871,2,1.0,0.07894736842105263,0.7478070175438597,50,456,19
30,Systematic_Beginner,0.36281179138321995,0.4036281179138322,0.06575963718820861,0.03854875283446712,0.022675736961451247,0.018140589569160998,0.0022675736961451248,0.006802721088435374,0.022675736961451247,0.013605442176870748,0.024943310657596373,0.018140589569160998,160,178,29,17,10,8,1,3,10,6,11,8,2.512873791243327,0.3273231564724032,27.942326027640373,1108.1773419383073,7,0.015873015873015872,10.972054436429834,3,0.5714285714285714,7,0.14,0.14,0.09228007572334762,0.9438393143162851,13,0.02947845804988662,0.8232710835145616,1,1.0,0.08843537414965986,0.7664399092970522,50,441,23
31,Systematic_Beginner,0.4517543859649123,0.31359649122807015,0.06798245614035088,0.05701754385964912,0.019736842105263157,0.02850877192982456,0.015350877192982455,0.006578947368421052,0.006578947368421052,0.0043859649122807015,0.019736842105263157,0.008771929824561403,206,143,31,26,9,13,7,3,3,2,9,4,24.751297504506073,0.1440461463301214,10.66506238792752,11286.591662054769,10,0.021929824561403508,4.496677725064343,3,0.7,8,0.16,0.16,0.0,0.9442799155623978,10,0.021929824561403508,0.7747643570268689,4,1.0,0.06140350877192982,0.7653508771929824,50,456,19
32,Systematic_Beginner,0.42093023255813955,0.36046511627906974,0.06744186046511629,0.03953488372093023,0.013953488372093023,0.03488372093023256,0.0,0.013953488372093023,0.013953488372093023,0.011627906976744186,0.011627906976744186,0.011627906976744186,181,155,29,17,6,15,0,6,6,5,5,5,14.893197289846807,0.22670363470173396,0.2225699418071309,6404.074834634127,18,0.04186046511627907,33.8864956331026,7,0.6111111111111112,6,0.12,0.12,0.015802024910045197,0.9467386607211247,11,0.02558139534883721,0.7855820667585109,2,0.9166666666666666,0.06279069767441861,0.7813953488372093,50,430,25
33,Hybrid_Sys_Adv,0.304,0.2813333333333333,0.10266666666666666,0.08933333333333333,0.052000000000000005,0.054666666666666676,0.045333333333333344,0.022666666666666672,0.021333333333333333,0.01,0.009333333333333332,0.007333333333333333,183,166,32,22,9,11,4,2,7,3,7,4,26.72116605156808,0.4239949615993467,9.552998313847413,12024.524723205635,1,0.0022222222222222222,21.469707384133358,0,1.0,6,0.12,0.12,0.03360526417435415,0.9531038136771796,5,0.011111111111111112,0.8563547767254204,1,1.0,0.06,0.7755555555555556,50,450,32
34,Systematic_Beginner,0.36425339366515835,0.3755656108597285,0.09502262443438914,0.05656108597285068,0.024886877828054297,0.01809954751131222,0.00904977375565611,0.013574660633484163,0.013574660633484163,0.006787330316742082,0.013574660633484163,0.00904977375565611,161,166,42,25,11,8,4,6,6,3,6,4,9.629307332978437,0.18995470754113647,0.3700601423610427,4256.153841176469,8,0.01809954751131222,12.345048340249289,0,1.0,5,0.1,0.1,0.055950920302698784,0.9903581592766647,6,0.013574660633484163,0.7543273375359139,4,1.0,0.06561085972850679,0.7398190045248869,50,442,40
35,Systematic_Beginner,0.4419642857142857,0.328125,0.07366071428571429,0.03794642857142857,0.020089285714285716,0.020089285714285716,0.015625,0.017857142857142856,0.013392857142857142,0.002232142857142857,0.011160714285714286,0.017857142857142856,198,147,33,17,9,9,7,8,6,1,5,8,3.9757257094595073,0.6243723394492425,62.36963504906762,1781.1251178378593,7,0.015625,19.045684113896826,4,0.42857142857142855,9,0.18,0.18,0.0,0.9468835705134179,10,0.022321428571428572,0.8778351666408212,1,1.0,0.078125,0.7700892857142857,50,448,22
36,Systematic_Beginner,0.38095238095238093,0.35600907029478457,0.06349206349206349,0.03854875283446712,0.022675736961451247,0.018140589569160998,0.015873015873015872,0.011337868480725623,0.015873015873015872,0.02040816326530612,0.024943310657596373,0.031746031746031744,168,157,28,17,10,8,7,5,7,9,11,14,5.799636950101512,0.06423019594074096,38.72610773942747,2557.6398949947666,7,0.015873015873015872,24.908485228553204,2,0.7142857142857143,8,0.16,0.16,0.07938658262399717,0.9542780773640296,6,0.013605442176870748,0.7847401422749025,1,1.0,0.12018140589569161,0.7369614512471655,50,441,26
37,Systematic_Beginner,0.4,0.35,0.0891304347826087,0.041304347826086954,0.02391304347826087,0.010869565217391304,0.02391304347826087,0.010869565217391304,0.008695652173913044,0.002173913043478261,0.015217391304347827,0.02391304347826087,184,161,41,19,11,5,11,5,4,1,7,11,7.888484246950932,0.510147513761232,13.731764484680639,3628.7027535974285,8,0.017391304347826087,11.804397579439062,3,0.625,10,0.2,0.2,0.026986829920833885,0.9272907821260373,14,0.030434782608695653,0.6565141694376911,1,1.0,0.08478260869565217,0.75,50,460,18
38,Systematic_Beginner,0.35268817204301073,0.3956989247311828,0.07956989247311828,0.05591397849462366,0.023655913978494623,0.03655913978494624,0.002150537634408602,0.010752688172043012,0.015053763440860216,0.017204301075268817,0.002150537634408602,0.008602150537634409,164,184,37,26,11,17,1,5,7,8,1,4,25.017524715735277,0.6121003289866522,27.922181143153235,11633.148992816903,12,0.025806451612903226,8.649183965796787,4,0.6666666666666666,8,0.16,0.16,0.0,0.9749956140280721,6,0.012903225806451613,0.7891471809053526,1,1.0,0.05591397849462366,0.7483870967741936,50,465,29
39,Systematic_Beginner,0.408207343412527,0.3369330453563715,0.0755939524838013,0.047516198704103674,0.03023758099352052,0.038876889848812095,0.008639308855291577,0.004319654427645789,0.004319654427645789,0.023758099352051837,0.012958963282937365,0.008639308855291577,189,156,35,22,14,18,4,2,2,11,6,4,9.194663184425083,0.3737322002402449,0.38065034712227785,4257.1290543888135,15,0.032397408207343416,8.666205285577975,5,0.6666666666666666,9,0.18,0.18,0.0,0.9685212475562393,11,0.023758099352051837,0.7946064408360445,2,1.0,0.06263498920086392,0.7451403887688985,50,463,24
40,Systematic_Beginner,0.3700980392156863,0.32598039215686275,0.12009803921568628,0.0392156862745098,0.024509803921568627,0.03431372549019608,0.024509803921568627,0.01715686274509804,0.0024509803921568627,0.012254901960784314,0.012254901960784314,0.01715686274509804,151,133,49,16,10,14,10,7,1,5,5,7,43.3884404743893,0.5651992012277928,15.144228660532463,17702.483713550835,9,0.022058823529411766,8.565876095890145,3,0.6666666666666666,7,0.14,0.14,0.08607812525630723,0.9361922674772264,7,0.01715686274509804,0.835437491069115,1,1.0,0.0857843137254902,0.696078431372549,50,408,22
41,Hybrid_Sys_Spe,0.43466666666666665,0.3506666666666666,0.06533333333333333,0.04533333333333334,0.006666666666666667,0.021333333333333336,0.005333333333333333,0.0013333333333333333,0.012,0.009333333333333332,0.04133333333333333,0.006666666666666667,176,173,34,19,5,10,4,1,9,7,7,5,9.892882118022895,0.27110536325711243,18.30887502547911,4451.796953110303,10,0.022222222222222223,8.445128397713608,1,0.9,7,0.14,0.14,0.013150690979162258,0.936030224085526,14,0.03111111111111111,0.8451758075623917,2,1.0,0.07333333333333333,0.7755555555555556,50,450,21
42,Systematic_Beginner,0.4077669902912621,0.3155339805825243,0.07766990291262135,0.03640776699029126,0.019417475728155338,0.04611650485436893,0.021844660194174758,0.03398058252427184,0.0048543689320388345,0.007281553398058253,0.021844660194174758,0.007281553398058253,168,130,32,15,8,19,9,14,2,3,9,3,6.439785451544383,0.03976933329502997,30.84067568516667,2653.1916060362855,2,0.0048543689320388345,7.364259258910289,1,0.5,7,0.14,0.14,0.03585767269111038,0.9779319378316252,4,0.009708737864077669,0.8087963722010129,2,1.0,0.0970873786407767,0.7233009708737864,50,412,27
43,Systematic_Beginner,0.3898305084745763,0.36319612590799033,0.07263922518159806,0.05084745762711865,0.01694915254237288,0.021791767554479417,0.012106537530266344,0.026634382566585957,0.007263922518159807,0.009685230024213076,0.01694915254237288,0.012106537530266344,161,150,30,21,7,9,5,11,3,4,7,5,39.049284803909735,0.287785690632296,2.3134367251269947,16127.35462401472,10,0.024213075060532687,13.782462741593369,3,0.7,3,0.06,0.06,0.033368134082452094,0.9598308424175461,12,0.029055690072639227,0.8854360738319436,1,1.0,0.0847457627118644,0.7530266343825666,50,413,19
44,Systematic_Beginner,0.3399122807017544,0.35526315789473684,0.08114035087719298,0.06140350877192982,0.03070175438596491,0.02631578947368421,0.02412280701754386,0.013157894736842105,0.017543859649122806,0.019736842105263157,0.019736842105263157,0.010964912280701754,155,162,37,28,14,12,11,6,8,9,9,5,6.025644776486612,0.5484777726005592,15.182127882194482,2747.6940180778947,10,0.021929824561403508,54.487789227683706,2,0.8,3,0.06,0.06,0.06867466347008616,0.9485210486878322,15,0.03289473684210526,0.706193501001226,1,1.0,0.10526315789473684,0.6951754385964912,50,456,27
45,Systematic_Beginner,0.4449648711943794,0.28337236533957844,0.08665105386416862,0.04918032786885246,0.02107728337236534,0.0234192037470726,0.00702576112412178,0.01639344262295082,0.01873536299765808,0.01639344262295082,0.02810304449648712,0.00468384074941452,190,121,37,21,9,10,3,7,8,7,12,2,17.324784697819084,0.18409853067518725,4.208256658792469,7397.683065968748,5,0.0117096018735363,19.880750506120247,1,0.8,8,0.16,0.16,0.03201851637737692,0.9560221467838348,8,0.01873536299765808,0.8414153138771368,3,1.0,0.09133489461358314,0.7283372365339579,50,427,26
